"Story","Title","Result","Date","Stability","Duration (s)"
"User - Operations about users - Login & Logout","As a End User, A Unauthorized user can not login to the application using API","FAILURE","2021-02-12T12:21:22.864+01:00[Europe/Berlin]","0.0","6.29"
"User - Operations about users - Login & Logout","As a End User, A Valid user with wrong password can not login to the application using API","FAILURE","2021-02-12T12:21:29.155+01:00[Europe/Berlin]","0.0","0.99"
"User - Operations about users - Login & Logout","As a End User, A Unauthorized user with valid password can not login to the application using API","FAILURE","2021-02-12T12:21:30.152+01:00[Europe/Berlin]","0.0","0.84"
"User - Operations about users - Login & Logout","As a End User, A Valid user can login and logout to the application using API","SUCCESS","2021-02-12T12:21:30.993+01:00[Europe/Berlin]","0.0","2.0"
"Pet - Everything about Pets","As a Store Owner, I would like add new pet profile, upload pet image and delete pet profile","SUCCESS","2021-02-12T12:21:32.998+01:00[Europe/Berlin]","0.0","4.07"
"Pet - Everything about Pets","As a Store Owner, I would like add update pet profile, view pet info by status or create new pet profile with form data","SUCCESS","2021-02-12T12:21:37.07+01:00[Europe/Berlin]","0.0","2.89"
"Store - Access to Petstore order","As a End User, I can control Pet Order Cart","SUCCESS","2021-02-12T12:21:39.96+01:00[Europe/Berlin]","0.0","3.09"
"Store - Access to Petstore order","As a Store Owner, I would like to check my inventory","SUCCESS","2021-02-12T12:21:43.053+01:00[Europe/Berlin]","0.0","0.81"
"User - Operations about users","As a Admin User, I can create multiple user with Array","SUCCESS","2021-02-12T12:21:43.865+01:00[Europe/Berlin]","0.0","2.14"
"User - Operations about users","As a Admin User, I can create multiple user with List","SUCCESS","2021-02-12T12:21:46.011+01:00[Europe/Berlin]","0.0","2.21"
"User - Operations about users","As a Admin User, I can create new user, view, update, delete the existing user","SUCCESS","2021-02-12T12:21:48.227+01:00[Europe/Berlin]","0.0","12.2"
