"Story","Title","Result","Date","Stability","Duration (s)"
"User - Operations about users - Login & Logout","As a End User, A Unauthorized user can not login to the application using API","FAILURE","2021-02-12T12:22:51.591+01:00[Europe/Berlin]","0.0","6.57"
"User - Operations about users - Login & Logout","As a End User, A Valid user with wrong password can not login to the application using API","FAILURE","2021-02-12T12:22:58.169+01:00[Europe/Berlin]","0.0","1.03"
"User - Operations about users - Login & Logout","As a End User, A Unauthorized user with valid password can not login to the application using API","FAILURE","2021-02-12T12:22:59.205+01:00[Europe/Berlin]","0.0","1.08"
"User - Operations about users - Login & Logout","As a End User, A Valid user can login and logout to the application using API","SUCCESS","2021-02-12T12:23:00.284+01:00[Europe/Berlin]","0.0","2.07"
"Pet - Everything about Pets","As a Store Owner, I would like add new pet profile, upload pet image and delete pet profile","SUCCESS","2021-02-12T12:23:02.351+01:00[Europe/Berlin]","0.0","4.37"
"Pet - Everything about Pets","As a Store Owner, I would like add update pet profile, view pet info by status or create new pet profile with form data","SUCCESS","2021-02-12T12:23:06.721+01:00[Europe/Berlin]","0.0","2.91"
"Store - Access to Petstore order","As a End User, I can control Pet Order Cart","SUCCESS","2021-02-12T12:23:09.63+01:00[Europe/Berlin]","0.0","3.36"
"Store - Access to Petstore order","As a Store Owner, I would like to check my inventory","SUCCESS","2021-02-12T12:23:12.994+01:00[Europe/Berlin]","0.0","0.88"
"User - Operations about users","As a Admin User, I can create multiple user with Array","SUCCESS","2021-02-12T12:23:13.876+01:00[Europe/Berlin]","0.0","2.41"
"User - Operations about users","As a Admin User, I can create multiple user with List","SUCCESS","2021-02-12T12:23:16.292+01:00[Europe/Berlin]","0.0","2.22"
"User - Operations about users","As a Admin User, I can create new user, view, update, delete the existing user","SUCCESS","2021-02-12T12:23:18.514+01:00[Europe/Berlin]","0.0","13.44"
